lat,lng,postalCode,data_updated_at,data_count_grass_pollen,data_count_tree_pollen,data_count_weed_pollen
41.2917,-84.6278,43536,2023-02-19 02:00:00+00:00,0,188,0
41.3781,-84.5269,43549,2023-02-19 02:00:00+00:00,0,196,0
41.2946,-84.5417,43556,2023-02-19 02:00:00+00:00,0,199,0
40.4163,-82.9542,43003,2023-02-19 02:00:00+00:00,0,75,0
40.2932,-83.0723,43015,2023-02-19 02:00:00+00:00,0,96,0
40.2011,-82.8749,43021,2023-02-19 02:00:00+00:00,0,109,0
40.3286,-82.9588,43032,2023-02-19 02:00:00+00:00,0,87,0
40.1879,-82.9878,43035,2023-02-19 02:00:00+00:00,0,103,0
40.274,-83.1978,43061,2023-02-19 02:00:00+00:00,0,199,0
40.1834,-83.0912,43065,2023-02-19 02:00:00+00:00,0,102,0
40.3918,-83.1781,43066,2023-02-19 02:00:00+00:00,0,199,0
40.2655,-82.8511,43074,2023-02-19 02:00:00+00:00,0,53,0
40.1524,-82.882,43082,2023-02-19 02:00:00+00:00,0,103,0
41.3907,-84.6313,43520,2023-02-19 02:00:00+00:00,0,192,0
41.4222,-84.3966,43519,2023-02-19 02:00:00+00:00,0,187,0
41.2799,-84.3626,43512,2023-02-19 02:00:00+00:00,0,133,0
40.2018,-84.7832,45390,2023-02-19 02:00:00+00:00,0,103,0
41.4995,-81.6954,44193,2023-02-19 02:00:00+00:00,0,311,0
41.4995,-81.6954,44199,2023-02-19 02:00:00+00:00,0,311,0
40.2151,-84.6406,45303,2023-02-19 02:00:00+00:00,0,133,0
39.9888,-84.5312,45304,2023-02-19 02:00:00+00:00,0,112,0
40.1147,-84.4934,45328,2023-02-19 02:00:00+00:00,0,107,0
40.0987,-84.6342,45331,2023-02-19 02:00:00+00:00,0,125,0
39.9899,-84.7901,45332,2023-02-19 02:00:00+00:00,0,258,0
41.6008,-82.7068,43438,2023-02-19 02:00:00+00:00,0,111,0
39.9687,-84.7222,45346,2023-02-19 02:00:00+00:00,0,152,0
40.3243,-84.5737,45350,2023-02-19 02:00:00+00:00,0,159,0
40.3406,-84.4963,45351,2023-02-19 02:00:00+00:00,0,106,0
40.0503,-84.7457,45352,2023-02-19 02:00:00+00:00,0,105,0
39.987,-84.4866,45358,2023-02-19 02:00:00+00:00,0,120,0
40.2946,-84.6264,45362,2023-02-19 02:00:00+00:00,0,106,0
40.2273,-84.4957,45380,2023-02-19 02:00:00+00:00,0,170,0
40.3283,-84.4836,45388,2023-02-19 02:00:00+00:00,0,106,0
40.3349,-84.6308,45348,2023-02-19 02:00:00+00:00,0,99,0
41.41,-82.3554,44089,2023-02-19 02:00:00+00:00,0,125,0
41.3205,-82.4777,44814,2023-02-19 02:00:00+00:00,0,123,0
41.3349,-82.355,44816,2023-02-19 02:00:00+00:00,0,112,0
39.659,-83.5687,43128,2023-02-19 02:00:00+00:00,0,41,0
39.5937,-83.5873,43142,2023-02-19 02:00:00+00:00,0,42,0
39.537,-83.455,43160,2023-02-19 02:00:00+00:00,0,52,0
40.072,-83.1792,43002,2023-02-19 02:00:00+00:00,0,97,0
40.021,-82.8079,43004,2023-02-19 02:00:00+00:00,0,103,0
40.0985,-83.1537,43016,2023-02-19 02:00:00+00:00,0,97,0
40.1093,-83.1146,43017,2023-02-19 02:00:00+00:00,0,109,0
39.6286,-83.4095,43106,2023-02-19 02:00:00+00:00,0,58,0
40.0322,-83.1383,43026,2023-02-19 02:00:00+00:00,0,102,0
39.9551,-82.8035,43068,2023-02-19 02:00:00+00:00,0,97,0
39.9555,-82.7992,43069,2023-02-19 02:00:00+00:00,0,97,0
40.1146,-82.9105,43081,2023-02-19 02:00:00+00:00,0,113,0
40.0999,-83.0157,43085,2023-02-19 02:00:00+00:00,0,123,0
39.969,-83.0114,43086,2023-02-19 02:00:00+00:00,0,135,0
39.969,-83.0114,43199,2023-02-19 02:00:00+00:00,0,135,0
39.969,-83.0114,43216,2023-02-19 02:00:00+00:00,0,135,0
40.0847,-82.7988,43054,2023-02-19 02:00:00+00:00,0,95,0
41.4995,-81.6954,44192,2023-02-19 02:00:00+00:00,0,311,0
39.8427,-82.5462,43157,2023-02-19 02:00:00+00:00,0,54,0
39.6067,-82.8193,43154,2023-02-19 02:00:00+00:00,0,40,0
